Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,factura promedio,ND,41065.19,73743.88,130530.35,ND,ND,84297.49,ND,745244.42,1043176,ND,746190.24
AES COLOMBIA & CIA S C A E S P,factura promedio,ND,ND,ND,ND,ND,ND,ND,404390514.47,497265954,ND,ND,413235794.43
AIR-E S.A.S. E.S.P.,factura promedio,210765.14,178245.4,221736.57,302912.28,359927.95,525171.49,220555.52,11416991.47,1242676.28,4538448.62,25759199.48,1760979.77
BCCY CÓRDOBA S.A.S. E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BEAM ENERGY INNOVATION S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BIA ENERGY S.A.S. E.S.P.,factura promedio,763320.83,4529753.42,1682227.51,1316315.4,750984.25,268301.4,1680137.28,17530642.9,4527151.82,3073506.38,ND,7166860.2
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,factura promedio,175941.35,177571.01,221043.38,309646.92,385004.73,564240.87,190704.63,14309418.33,1075517.68,2466487.99,42624094.97,1531875.21
CELSIA COLOMBIA S.A. E.S.P.,factura promedio,81166.82,94586.2,92402.05,115536.76,171376.71,233394.98,94001.03,5726525.32,556566.11,1686595.08,18879932.46,954537.8
CEMEX ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,201924173.5,25622569,ND,ND,182335106.33
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,factura promedio,105526.47,135263.1,147489.59,194752.16,287408.4,320318.13,132088.83,2631882.9,450890.78,1372702.12,1474334.22,614141.89
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,factura promedio,72210.81,83896.14,88868.81,96397.55,101741.98,208155.43,80067.59,880449.75,289789.57,1026425.86,3249774.68,425876.23
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,factura promedio,91299.71,95711.39,95181.47,100790.38,94758.43,112699.64,95963.99,2355746.77,359430.12,559563.14,1134266.82,450196
COLOMBINA ENERGIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,200803557.8,15896926,306848179,ND,137445367.2
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,factura promedio,86307.64,91162.49,92439.9,103434.56,123454.84,291903.67,94903.64,2729180.58,485845.29,2153549.92,104397780.25,739571.1
COMPAÑIA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,factura promedio,71305.75,83467.2,93175.16,95631.74,111444.9,152324.69,82032.04,1251934.28,300095.07,824200.13,17109602.7,451796.4
COREX ENERGY S.A.S. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,159054583,ND,159054583
DICELER S.A E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,12367028,ND,2649126.36,ND,2819615.86
DISTRIBUIDORA Y COMERCIALIZADORA DE ENERGIA ELECTRICA S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
DRUMMOND POWER S.A.S .ES.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,factura promedio,75569.17,89395.26,100461.63,146871.32,ND,ND,81723.35,4348486.56,455891.6,1861116.63,44467971.56,689082.74
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,factura promedio,92575.43,115007.34,129074.75,196364.7,265905.37,254817.95,113952.21,3512842.21,522681.7,1316772.43,1588610.7,679383.14
ELECTRIFICADORA DEL META S.A. E.S.P.,factura promedio,94568.52,96607.26,106787.79,134564.54,154927.51,210565.96,101724.59,5683822.84,332547.77,1963713.34,1457324.57,515409.43
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,factura promedio,104561.69,107446.3,109242.94,127728.18,143486.64,169445.36,112232.4,996196.8,415032.1,1393114.55,7694773.84,549046.81
EMPRESA DE ENERGIA DE ARAUCA,factura promedio,57732.53,112528.12,116267.72,186879,ND,ND,79717.78,3464301.24,244136.03,2406811.98,808875.25,477823.14
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,factura promedio,75447.59,79953.91,78509.32,72714.53,82560.24,154591.99,78635.01,2744470.8,277031.51,741802.84,2290041.99,467316.53
EMPRESA DE ENERGIA DE CASANARE SA ESP,factura promedio,83324.7,95191.51,107246.86,128122.01,209592.92,ND,94281.4,4269509.68,388760.23,1599089.17,3859022.79,604382
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,factura promedio,101033.44,127521.89,148013.81,ND,ND,ND,110594.33,1286556.64,326789.36,1121920.74,7554675.8,441936.46
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,factura promedio,64145.58,82130.6,81384.41,ND,ND,ND,68621.61,143038.85,254134.48,866126.16,5661737.59,403485.41
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P. ,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,factura promedio,86316.78,92545.45,97953.32,100302.73,112323.21,157362.21,99593.19,4543300.03,568240.46,2216078.46,5508722.37,942980.03
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,factura promedio,112534.05,135871.39,161987.29,181861.18,ND,ND,125981.41,2864389.2,395667.59,2180825.33,0,607285.48
EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,factura promedio,129912.97,163474.05,182513.25,ND,ND,ND,133518.99,607106.52,670911.92,2657187.56,2583521.32,984901.79
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,factura promedio,13517.49,42666.92,159048.88,98550.16,ND,ND,56728.39,9817895.96,2837981.03,579825.3,ND,3876627.57
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,factura promedio,107172.21,107166.45,102991.5,105453.5,137956.55,244803.48,112836.21,6115255.39,785566.86,8232855.27,855712384.89,1302981.64
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio,91087.4,99507.21,107371.75,124186.04,145160.62,209780.07,107215.58,7525452.01,670563.5,2678819.64,8852700.13,1362115.36
ENEL COLOMBIA S.A. E.S.P.,factura promedio,95453.74,106532.22,98979.72,102577.97,138287.16,185329.98,105665.17,2533582.04,559682.29,3259979.95,101817584.87,892062.33
Enel X Colombia S.A.S. ESP,factura promedio,ND,5054876.5,ND,ND,ND,ND,5054876.5,32225648.64,11375271.77,14887280,ND,15806300.77
ENERBIT S.A.S E.S.P.,factura promedio,36147.21,67719.11,83325.05,75569.14,202789.16,479340.78,126910.63,4402251.01,2273954.43,6031009.43,ND,2439690.61
ENERMAS S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERTOTAL S.A. E.S.P.,factura promedio,70531.78,234076.7,207169.97,115788.74,137963.75,286779.1,156171.58,7508433.28,2199707.07,7546937.36,ND,3406443.17
ENERXIA COLOMBIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
FRANCA ENERGIA SA ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,990056972,ND,ND,ND,990056972
FUENTES DE ENERGÍAS RENOVABLES S.A.S. ESP,factura promedio,ND,ND,0,ND,ND,ND,0,0,0,0,ND,0
GAP ENERGY GROUP S.A.S ESP ,factura promedio,ND,ND,ND,ND,ND,ND,ND,226314747.7,ND,ND,ND,226314747.7
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GENERSA S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GREENYELLOW COMERCIALIZADORA SAS ESP,factura promedio,ND,25264873,ND,ND,ND,ND,25264873,27849200,28716326.67,24932244,ND,28488274.43
ISAGEN S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,433679707.51,309357841.44,ND,ND,417580473.06
ITALCOL ENERGIA S.A. ESP.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MESSER ENERGY SERVICES SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,1294164260,11561388,ND,ND,652862824
NEU ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
PROFESIONALES EN ENERGÍA S.A E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
QI ENERGY SAS ESP,factura promedio,ND,227678,17189.29,424875.67,142065,430368.25,360685.43,7509847.94,2689109.72,22455197.39,41676366.33,3582087.54
RIOPAILA ENERGÍA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
RUITOQUE S.A. E.S.P.,factura promedio,ND,ND,ND,121488,146919.73,211736.6,154527.3,68374023.21,5612816.61,64946338.7,ND,12505508.08
SOL & CIELO ENERGIA SAS ESP,factura promedio,5009567.33,1844829.57,806836.14,840244.2,359991.09,1258804.57,1245880.3,14018593.71,4513587.01,2392793.16,ND,4086857.2
TERMOPIEDRAS S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TERPEL ENERGIA S.A.S E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,21473170.21,4449899,ND,21386316.78
Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P,factura promedio,ND,8288588.33,19421292.4,ND,ND,ND,11562913.06,13865676.67,10136391.87,10456740.67,ND,10420200.3
VATIA S.A.S. E.S.P.,factura promedio,2036169.89,72657.1,136867.71,160955.43,199890.5,362678.49,199497.52,8618967.61,3179656.15,6130732.15,3269840.32,3872907.35
VOLTAJE EMPRESARIAL SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,,,,,,,,,,,,,
Año,2025
Período,Julio
Ubicación,Urbano
Reporte a Consultar,Factura Promedio
