Empresa,Anio,Mes,Periodo,Segmento,Factura_Promedio_COP
AIR-E S.A.S. E.S.P.,2025,1,2025-01,Estrato 1,273094.53
CARIBEMAR DE LA COSTA S.A.S. E.S.P.,2025,1,2025-01,Estrato 1,200250.84
CELSIA COLOMBIA S.A. E.S.P.,2025,1,2025-01,Estrato 1,87115.06
CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,2025,1,2025-01,Estrato 1,119172.97
CENTRALES ELECTRICAS DE NARIÑO S.A. E.S.P.,2025,1,2025-01,Estrato 1,72510.58
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BIC BENEFICIO E INTERES COLECTIVO,2025,1,2025-01,Estrato 1,94110.56
COMPAÑÍA DE ELECTRICIDAD DE TULUÁ S.A. E.S.P.,2025,1,2025-01,Estrato 1,99280.94
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,2025,1,2025-01,Estrato 1,98292.56
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,2025,1,2025-01,Estrato 1,90671.3
ELECTRIFICADORA DEL META S.A. E.S.P.,2025,1,2025-01,Estrato 1,104386.57
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,2025,1,2025-01,Estrato 1,112242.5
EMPRESA DE ENERGIA DE ARAUCA,2025,1,2025-01,Estrato 1,67462.68
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,2025,1,2025-01,Estrato 1,84858.82
EMPRESA DE ENERGIA DE CASANARE SA ESP,2025,1,2025-01,Estrato 1,94096.27
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,2025,1,2025-01,Estrato 1,117936.2
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,2025,1,2025-01,Estrato 1,73678.3
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,2025,1,2025-01,Estrato 1,88741.42
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,2025,1,2025-01,Estrato 1,121182.88
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,2025,1,2025-01,Estrato 1,92430.98
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,2025,1,2025-01,Estrato 1,12936.03
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,2025,1,2025-01,Estrato 1,120678.29
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,2025,1,2025-01,Estrato 1,95338.48
ENEL COLOMBIA S.A. E.S.P.,2025,1,2025-01,Estrato 1,100775.94
ENERBIT S.A.S E.S.P.,2025,1,2025-01,Estrato 1,10345.12
ENERTOTAL S.A. E.S.P.,2025,1,2025-01,Estrato 1,76232.82
SOL & CIELO ENERGIA SAS ESP,2025,1,2025-01,Estrato 1,3229210.67
VATIA S.A.S. E.S.P.,2025,1,2025-01,Estrato 1,2603049.22
A.S.C INGENIERIA SOCIEDAD ANONIMA SA ESP.,2025,1,2025-01,Estrato 2,76764.0
AIR-E S.A.S. E.S.P.,2025,1,2025-01,Estrato 2,152935.38
